eid,nid_s,nid_e,length,lanes,maxmph,type,edge_osmid,start_osm,end_osm,geometry,points_list,long_points_list
11,248,245,180.49520096259806,1,25,unclassified,12172644,110367728,110367725,"LINESTRING (-122.6993673 37.9342581, -122.6992324 37.9342871, -122.697465 37.9346211, -122.697367 37.9346398)","[(-122.6993673, 37.9342581), (-122.6992324, 37.9342871), (-122.697465, 37.9346211), (-122.697367, 37.9346398)]","[(-122.6993673, 37.9342581), (-122.69930140636701, 37.93427226542148), (-122.6992324, 37.9342871), (-122.69916598644004, 37.93429965071236), (-122.69909957288009, 37.93431220142472), (-122.69903315932012, 37.93432475213708), (-122.69896674576017, 37.93433730284944), (-122.69890033220021, 37.9343498535618), (-122.69883391864026, 37.93436240427416), (-122.6987675050803, 37.934374954986524), (-122.69870109152035, 37.93438750569888), (-122.69863467796038, 37.93440005641124), (-122.69856826440044, 37.934412607123605), (-122.69850185084047, 37.93442515783596), (-122.69843543728052, 37.93443770854832), (-122.69836902372056, 37.934450259260686), (-122.69830261016061, 37.93446280997304), (-122.69823619660065, 37.934475360685404), (-122.69816978304068, 37.93448791139777), (-122.69810336948073, 37.93450046211012), (-122.69803695592077, 37.934513012822485), (-122.69797054236082, 37.93452556353485), (-122.69790412880086, 37.934538114247204), (-122.69783771524091, 37.934550664959566), (-122.69777130168094, 37.93456321567193), (-122.697704888121, 37.934575766384285), (-122.69763847456103, 37.93458831709665), (-122.69757206100108, 37.93460086780901), (-122.697465, 37.9346211), (-122.697367, 37.9346398)]"
12,22,31,554.8796903852999,1,25,residential,12172661,110367804,110367827,"LINESTRING (-122.6919757 37.9156925, -122.693463 37.915239, -122.693875 37.915063, -122.693936 37.914842, -122.694013 37.914682, -122.694371 37.9146421, -122.694959 37.914377, -122.6952851 37.9141651, -122.6956975 37.9142111, -122.696073 37.914255, -122.696439 37.914186, -122.696729 37.914041, -122.69711 37.913827, -122.697396 37.913725)","[(-122.6919757, 37.9156925), (-122.693463, 37.915239), (-122.693875, 37.915063), (-122.693936, 37.914842), (-122.694013, 37.914682), (-122.694371, 37.9146421), (-122.694959, 37.914377), (-122.6952851, 37.9141651), (-122.6956975, 37.9142111), (-122.696073, 37.914255), (-122.696439, 37.914186), (-122.696729, 37.914041), (-122.69711, 37.913827), (-122.697396, 37.913725)]","[(-122.6919757, 37.9156925), (-122.69203940474796, 37.91567307547018), (-122.69210310949592, 37.915653650940364), (-122.69216681424388, 37.91563422641054), (-122.69223051899185, 37.91561480188072), (-122.69229422373981, 37.915595377350904), (-122.69235792848777, 37.91557595282109), (-122.69242163323572, 37.91555652829126), (-122.69248533798368, 37.915537103761444), (-122.69254904273164, 37.91551767923163), (-122.6926127474796, 37.91549825470181), (-122.69267645222756, 37.915478830171985), (-122.69274015697553, 37.91545940564217), (-122.69280386172349, 37.91543998111235), (-122.69286756647145, 37.91542055658253), (-122.69293127121941, 37.91540113205271), (-122.69299497596737, 37.91538170752289), (-122.69305868071532, 37.91536228299307), (-122.69312238546328, 37.915342858463255), (-122.69318609021126, 37.91532343393343), (-122.69324979495921, 37.91530400940361), (-122.69331349970717, 37.915284584873795), (-122.69337720445513, 37.91526516034398), (-122.693463, 37.915239), (-122.6935230820195, 37.915213333894584), (-122.69358316403901, 37.91518766778916), (-122.69364324605851, 37.91516200168375), (-122.69370332807802, 37.915136335578325), (-122.69376341009752, 37.91511066947291), (-122.693875, 37.915063), (-122.69388958186597, 37.91501017061672), (-122.69390416373194, 37.91495734123343), (-122.69391874559793, 37.91490451185015), (-122.693936, 37.914842), (-122.69396031743052, 37.91479147027424), (-122.69398463486104, 37.91474094054847), (-122.694013, 37.914682), (-122.69408059397351, 37.91467446648172), (-122.69414818794702, 37.91466693296345), (-122.69421578192055, 37.91465939944517), (-122.69428337589406, 37.91465186592689), (-122.694371, 37.9146421), (-122.69443032559788, 37.91461535303402), (-122.69448965119574, 37.914588606068044), (-122.69454897679361, 37.91456185910207), (-122.69460830239147, 37.91453511213609), (-122.69466762798935, 37.914508365170114), (-122.6947269535872, 37.914481618204135), (-122.69478627918508, 37.914454871238156), (-122.69484560478294, 37.914428124272185), (-122.694959, 37.914377), (-122.69501177731362, 37.914342705266), (-122.69506455462724, 37.91430841053201), (-122.69511733194086, 37.91427411579801), (-122.69517010925449, 37.914239821064015), (-122.6952228865681, 37.914205526330015), (-122.6952851, 37.9141651), (-122.69535269249756, 37.91417263941534), (-122.69542028499512, 37.91418017883069), (-122.69548787749268, 37.91418771824603), (-122.69555546999024, 37.914195257661376), (-122.6956230624878, 37.91420279707672), (-122.6956975, 37.9142111), (-122.6957650278753, 37.914218994736956), (-122.6958325557506, 37.9142268894739), (-122.69590008362589, 37.914234784210855), (-122.69596761150119, 37.91424267894781), (-122.696073, 37.914255), (-122.69613940491908, 37.91424248103984), (-122.69620580983815, 37.91422996207969), (-122.69627221475723, 37.91421744311954), (-122.69633861967631, 37.914204924159385), (-122.696439, 37.914186), (-122.69649672424704, 37.91415713787648), (-122.69655444849408, 37.91412827575296), (-122.69661217274111, 37.914099413629444), (-122.69666989698815, 37.91407055150592), (-122.696729, 37.914041), (-122.69678468413541, 37.91400972334652), (-122.6968403682708, 37.91397844669304), (-122.6968960524062, 37.913947170039556), (-122.6969517365416, 37.91391589338608), (-122.697007420677, 37.9138846167326), (-122.69711, 37.913827), (-122.6971722427368, 37.91380480154142), (-122.6972344854736, 37.913782603082836), (-122.69729672821042, 37.913760404624256), (-122.697396, 37.913725)]"
13,31,22,554.8796903853,1,25,residential,12172661,110367827,110367804,"LINESTRING (-122.697396 37.913725, -122.69711 37.913827, -122.696729 37.914041, -122.696439 37.914186, -122.696073 37.914255, -122.6956975 37.9142111, -122.6952851 37.9141651, -122.694959 37.914377, -122.694371 37.9146421, -122.694013 37.914682, -122.693936 37.914842, -122.693875 37.915063, -122.693463 37.915239, -122.6919757 37.9156925)","[(-122.697396, 37.913725), (-122.69711, 37.913827), (-122.696729, 37.914041), (-122.696439, 37.914186), (-122.696073, 37.914255), (-122.6956975, 37.9142111), (-122.6952851, 37.9141651), (-122.694959, 37.914377), (-122.694371, 37.9146421), (-122.694013, 37.914682), (-122.693936, 37.914842), (-122.693875, 37.915063), (-122.693463, 37.915239), (-122.6919757, 37.9156925)]","[(-122.697396, 37.913725), (-122.6973337572632, 37.91374719845858), (-122.69727151452639, 37.91376939691716), (-122.69720927178957, 37.91379159537574), (-122.69711, 37.913827), (-122.69705431586459, 37.91385827665348), (-122.6969986317292, 37.91388955330696), (-122.6969429475938, 37.91392082996044), (-122.6968872634584, 37.91395210661391), (-122.696831579323, 37.91398338326739), (-122.696729, 37.914041), (-122.69667127575296, 37.91406986212352), (-122.69661355150592, 37.91409872424704), (-122.69655582725889, 37.914127586370554), (-122.69649810301185, 37.914156448494076), (-122.696439, 37.914186), (-122.69637259508092, 37.914198518960156), (-122.69630619016185, 37.91421103792031), (-122.69623978524277, 37.91422355688046), (-122.69617338032369, 37.91423607584061), (-122.696073, 37.914255), (-122.6960054721247, 37.914247105263044), (-122.6959379442494, 37.9142392105261), (-122.6958704163741, 37.914231315789145), (-122.6958028884988, 37.91422342105219), (-122.6956975, 37.9142111), (-122.69562990750244, 37.91420356058466), (-122.69556231500488, 37.91419602116931), (-122.69549472250732, 37.91418848175397), (-122.69542713000976, 37.914180942338625), (-122.6953595375122, 37.91417340292328), (-122.6952851, 37.9141651), (-122.69523232268638, 37.914199394734), (-122.69517954537277, 37.91423368946799), (-122.69512676805914, 37.91426798420199), (-122.69507399074551, 37.914302278935985), (-122.6950212134319, 37.914336573669985), (-122.694959, 37.914377), (-122.69489967440212, 37.91440374696598), (-122.69484034880426, 37.91443049393196), (-122.69478102320639, 37.91445724089793), (-122.69472169760853, 37.91448398786391), (-122.69466237201065, 37.91451073482989), (-122.6946030464128, 37.91453748179587), (-122.69454372081492, 37.91456422876185), (-122.69448439521706, 37.91459097572782), (-122.694371, 37.9146421), (-122.69430340602649, 37.91464963351828), (-122.69423581205298, 37.91465716703655), (-122.69416821807945, 37.91466470055483), (-122.69410062410594, 37.91467223407311), (-122.694013, 37.914682), (-122.69398868256947, 37.91473252972576), (-122.69396436513895, 37.91478305945153), (-122.693936, 37.914842), (-122.69392141813402, 37.914894829383286), (-122.69390683626806, 37.91494765876657), (-122.69389225440207, 37.91500048814985), (-122.693875, 37.915063), (-122.6938149179805, 37.91508866610542), (-122.69375483596099, 37.91511433221084), (-122.69369475394149, 37.915139998316256), (-122.69363467192198, 37.91516566442168), (-122.69357458990248, 37.915191330527094), (-122.693463, 37.915239), (-122.69339929525204, 37.91525842452982), (-122.69333559050408, 37.915277849059635), (-122.69327188575612, 37.91529727358946), (-122.69320818100815, 37.91531669811928), (-122.69314447626019, 37.915336122649094), (-122.69308077151223, 37.91535554717891), (-122.69301706676427, 37.91537497170874), (-122.69295336201631, 37.915394396238554), (-122.69288965726835, 37.91541382076837), (-122.6928259525204, 37.91543324529819), (-122.69276224777244, 37.915452669828014), (-122.69269854302446, 37.91547209435783), (-122.6926348382765, 37.91549151888765), (-122.69257113352855, 37.915510943417466), (-122.69250742878059, 37.91553036794729), (-122.69244372403263, 37.91554979247711), (-122.69238001928467, 37.915569217006926), (-122.69231631453671, 37.91558864153674), (-122.69225260978874, 37.91560806606657), (-122.69218890504078, 37.915627490596385), (-122.69212520029282, 37.9156469151262), (-122.69206149554486, 37.91566633965602), (-122.6919757, 37.9156925)]"
14,230,232,96.55920374934013,1,25,residential,12175021,110381017,110381021,"LINESTRING (-122.6933953 37.9025985, -122.6935321 37.9029199, -122.6934892 37.9030235, -122.6930355 37.9032438)","[(-122.6933953, 37.9025985), (-122.6935321, 37.9029199), (-122.6934892, 37.9030235), (-122.6930355, 37.9032438)]","[(-122.6933953, 37.9025985), (-122.69341711054433, 37.902649742024465), (-122.69343892108866, 37.902700984048934), (-122.69346073163298, 37.902752226073396), (-122.6934825421773, 37.902803468097865), (-122.69350435272163, 37.90285471012233), (-122.6935321, 37.9029199), (-122.69351082282668, 37.90297128263767), (-122.6934892, 37.9030235), (-122.69343100834118, 37.903051755725016), (-122.69337281668234, 37.90308001145004), (-122.69331462502352, 37.90310826717505), (-122.69325643336468, 37.90313652290007), (-122.69319824170586, 37.90316477862508), (-122.69314005004702, 37.903193034350096), (-122.6930355, 37.9032438)]"
15,232,230,96.55920374934013,1,25,residential,12175021,110381021,110381017,"LINESTRING (-122.6930355 37.9032438, -122.6934892 37.9030235, -122.6935321 37.9029199, -122.6933953 37.9025985)","[(-122.6930355, 37.9032438), (-122.6934892, 37.9030235), (-122.6935321, 37.9029199), (-122.6933953, 37.9025985)]","[(-122.6930355, 37.9032438), (-122.69309369165882, 37.903215544274985), (-122.69315188331765, 37.903187288549965), (-122.69321007497648, 37.90315903282495), (-122.69326826663531, 37.90313077709993), (-122.69332645829414, 37.90310252137492), (-122.69338464995297, 37.903074265649906), (-122.6934892, 37.9030235), (-122.69351047717332, 37.90297211736233), (-122.6935321, 37.9029199), (-122.69351028945567, 37.90286865797554), (-122.69348847891135, 37.90281741595107), (-122.69346666836702, 37.90276617392661), (-122.6934448578227, 37.90271493190214), (-122.69342304727837, 37.90266368987768), (-122.6933953, 37.9025985)]"
16,14,15,194.4103064174621,1,25,residential,12175036,110381097,110381098,"LINESTRING (-122.7067593 37.9017504, -122.7080356 37.9031796)","[(-122.7067593, 37.9017504), (-122.7080356, 37.9031796)]","[(-122.7067593, 37.9017504), (-122.70679872147757, 37.90179454414772), (-122.70683814295514, 37.90183868829544), (-122.7068775644327, 37.90188283244316), (-122.70691698591025, 37.90192697659088), (-122.70695640738782, 37.9019711207386), (-122.70699582886539, 37.90201526488632), (-122.70703525034295, 37.90205940903404), (-122.70707467182052, 37.90210355318176), (-122.70711409329809, 37.90214769732948), (-122.70715351477565, 37.902191841477205), (-122.70719293625321, 37.90223598562493), (-122.70723235773077, 37.90228012977264), (-122.70727177920834, 37.902324273920364), (-122.70731120068591, 37.902368418068086), (-122.70735062216347, 37.90241256221581), (-122.70739004364104, 37.90245670636352), (-122.70742946511861, 37.902500850511245), (-122.70746888659617, 37.90254499465897), (-122.70750830807373, 37.90258913880669), (-122.7075477295513, 37.902633282954405), (-122.70758715102886, 37.90267742710213), (-122.70762657250643, 37.90272157124985), (-122.707665993984, 37.90276571539757), (-122.70770541546156, 37.90280985954529), (-122.70774483693913, 37.90285400369301), (-122.70778425841668, 37.90289814784073), (-122.70782367989425, 37.90294229198845), (-122.70786310137181, 37.902986436136175), (-122.70790252284938, 37.90303058028389), (-122.70794194432695, 37.90307472443161), (-122.70798136580451, 37.903118868579334), (-122.7080356, 37.9031796)]"
17,15,14,194.4103064174621,1,25,residential,12175036,110381098,110381097,"LINESTRING (-122.7080356 37.9031796, -122.7067593 37.9017504)","[(-122.7080356, 37.9031796), (-122.7067593, 37.9017504)]","[(-122.7080356, 37.9031796), (-122.70799617852244, 37.90313545585228), (-122.70795675704487, 37.90309131170456), (-122.7079173355673, 37.90304716755684), (-122.70787791408975, 37.90300302340912), (-122.70783849261218, 37.9029588792614), (-122.70779907113462, 37.902914735113676), (-122.70775964965705, 37.90287059096596), (-122.70772022817948, 37.90282644681824), (-122.70768080670192, 37.902782302670516), (-122.70764138522435, 37.902738158522794), (-122.7076019637468, 37.90269401437507), (-122.70756254226923, 37.90264987022736), (-122.70752312079166, 37.902605726079635), (-122.7074836993141, 37.90256158193191), (-122.70744427783653, 37.90251743778419), (-122.70740485635896, 37.902473293636476), (-122.7073654348814, 37.90242914948875), (-122.70732601340383, 37.90238500534103), (-122.70728659192628, 37.90234086119331), (-122.70724717044871, 37.902296717045594), (-122.70720774897114, 37.90225257289787), (-122.70716832749358, 37.90220842875015), (-122.70712890601601, 37.90216428460243), (-122.70708948453844, 37.902120140454706), (-122.70705006306088, 37.90207599630699), (-122.70701064158332, 37.90203185215927), (-122.70697122010576, 37.901987708011546), (-122.70693179862819, 37.901943563863824), (-122.70689237715062, 37.90189941971611), (-122.70685295567306, 37.90185527556839), (-122.70681353419549, 37.901811131420665), (-122.7067593, 37.9017504)]"
18,214,85,125.8936302579798,1,25,residential,12175498,3367883696,110383326,"LINESTRING (-122.7020534 37.9079407, -122.7019232 37.9078144, -122.7016229 37.9074899, -122.7011858 37.9070391)","[(-122.7020534, 37.9079407), (-122.7019232, 37.9078144), (-122.7016229, 37.9074899), (-122.7011858, 37.9070391)]","[(-122.7020534, 37.9079407), (-122.70201022395324, 37.90789881724496), (-122.70196704790648, 37.90785693448993), (-122.7019232, 37.9078144), (-122.70188284147117, 37.90777078913552), (-122.70184248294235, 37.907727178271045), (-122.70180212441353, 37.907683567406565), (-122.70176176588471, 37.90763995654209), (-122.70172140735589, 37.90759634567761), (-122.70168104882707, 37.90755273481314), (-122.7016229, 37.9074899), (-122.70158131932877, 37.9074470160682), (-122.70153973865753, 37.90740413213639), (-122.70149815798631, 37.90736124820459), (-122.70145657731507, 37.90731836427278), (-122.70141499664383, 37.90727548034097), (-122.7013734159726, 37.907232596409166), (-122.70133183530137, 37.90718971247736), (-122.70129025463014, 37.90714682854556), (-122.7012486739589, 37.90710394461375), (-122.7011858, 37.9070391)]"
19,85,214,125.8936302579798,1,25,residential,12175498,110383326,3367883696,"LINESTRING (-122.7011858 37.9070391, -122.7016229 37.9074899, -122.7019232 37.9078144, -122.7020534 37.9079407)","[(-122.7011858, 37.9070391), (-122.7016229, 37.9074899), (-122.7019232, 37.9078144), (-122.7020534, 37.9079407)]","[(-122.7011858, 37.9070391), (-122.70122738067124, 37.9070819839318), (-122.70126896134248, 37.90712486786361), (-122.7013105420137, 37.90716775179541), (-122.70135212268494, 37.90721063572722), (-122.70139370335617, 37.90725351965903), (-122.70143528402741, 37.907296403590834), (-122.70147686469863, 37.90733928752264), (-122.70151844536987, 37.907382171454444), (-122.70156002604111, 37.90742505538625), (-122.7016229, 37.9074899), (-122.70166325852882, 37.90753351086448), (-122.70170361705765, 37.907577121728956), (-122.70174397558647, 37.907620732593436), (-122.70178433411529, 37.90766434345791), (-122.70182469264411, 37.90770795432239), (-122.70186505117293, 37.907751565186864), (-122.7019232, 37.9078144), (-122.70196637604676, 37.907856282755034), (-122.70200955209351, 37.90789816551007), (-122.7020534, 37.9079407)]"
20,85,88,391.06603084763583,1,25,residential,12175498,110383326,110383328,"LINESTRING (-122.7011858 37.9070391, -122.6986008 37.904174)","[(-122.7011858, 37.9070391), (-122.6986008, 37.904174)]","[(-122.7011858, 37.9070391), (-122.70114610816147, 37.90699510731659), (-122.70110641632292, 37.90695111463319), (-122.70106672448438, 37.90690712194978), (-122.70102703264584, 37.90686312926637), (-122.70098734080729, 37.90681913658296), (-122.70094764896875, 37.90677514389956), (-122.70090795713021, 37.90673115121615), (-122.70086826529166, 37.90668715853274), (-122.70082857345312, 37.90664316584933), (-122.70078888161459, 37.90659917316593), (-122.70074918977603, 37.90655518048252), (-122.7007094979375, 37.90651118779911), (-122.70066980609896, 37.9064671951157), (-122.7006301142604, 37.9064232024323), (-122.70059042242187, 37.90637920974889), (-122.70055073058333, 37.90633521706548), (-122.70051103874478, 37.90629122438207), (-122.70047134690624, 37.90624723169867), (-122.7004316550677, 37.90620323901526), (-122.70039196322915, 37.90615924633185), (-122.70035227139061, 37.906115253648444), (-122.70031257955208, 37.90607126096504), (-122.70027288771352, 37.90602726828163), (-122.70023319587499, 37.905983275598224), (-122.70019350403645, 37.905939282914815), (-122.7001538121979, 37.90589529023141), (-122.70011412035936, 37.905851297548004), (-122.70007442852082, 37.905807304864595), (-122.70003473668227, 37.90576331218119), (-122.69999504484373, 37.905719319497784), (-122.6999553530052, 37.905675326814375), (-122.69991566116664, 37.905631334130966), (-122.6998759693281, 37.905587341447564), (-122.69983627748957, 37.905543348764155), (-122.69979658565101, 37.905499356080746), (-122.69975689381248, 37.90545536339734), (-122.69971720197394, 37.905411370713935), (-122.69967751013539, 37.905367378030526), (-122.69963781829685, 37.90532338534712), (-122.69959812645831, 37.90527939266371), (-122.69955843461976, 37.905235399980306), (-122.69951874278122, 37.9051914072969), (-122.69947905094268, 37.90514741461349), (-122.69943935910413, 37.90510342193008), (-122.6993996672656, 37.90505942924668), (-122.69935997542706, 37.90501543656327), (-122.6993202835885, 37.90497144387986), (-122.69928059174997, 37.90492745119645), (-122.69924089991143, 37.90488345851305), (-122.69920120807288, 37.90483946582964), (-122.69916151623434, 37.90479547314623), (-122.6991218243958, 37.90475148046283), (-122.69908213255725, 37.90470748777942), (-122.69904244071871, 37.90466349509601), (-122.69900274888018, 37.9046195024126), (-122.69896305704162, 37.9045755097292), (-122.69892336520309, 37.90453151704579), (-122.69888367336455, 37.90448752436238), (-122.698843981526, 37.90444353167897), (-122.69880428968746, 37.90439953899557), (-122.6987645978489, 37.90435554631216), (-122.69872490601037, 37.90431155362875), (-122.69868521417183, 37.90426756094534), (-122.69864552233328, 37.90422356826194), (-122.6986008, 37.904174)]"
