link_id,x,y,lat,lon,angle
12,526823.8496966055,4196367.180558556,37.9144513212291,-122.69483440669578,240.2531493259834
12,526814.9261487171,4196362.05115731,37.914405353613695,-122.69493611639008,233.8887298092328
12,526806.7204565218,4196356.0451522935,37.91435146400273,-122.69502969189895,230.52358392098807
12,526798.932940336,4196349.615073513,37.91429373985646,-122.69511852567562,230.52352888270113
12,526791.1454241503,4196343.184994732,37.91423601564199,-122.69520735931366,230.52347381735686
12,526784.6883001166,4196337.142067991,37.91418174153829,-122.69528104326388,277.3130099827803
12,526774.743730906,4196338.379800727,37.914193189964315,-122.69539413127906,278.0474168801833
12,526764.7387423922,4196339.755128438,37.914205880190465,-122.6955079015763,278.04734672583163
12,526754.7378749024,4196341.129884662,37.91421856503478,-122.69562162505191,278.18404062470216
12,526744.7436252258,4196342.527937435,37.914231459544254,-122.69573527241512,278.42933906015145
12,526734.7479933404,4196343.969694932,37.91424474789129,-122.69584893392151,278.42926897965697
12,526724.717332504,4196345.4161444,37.914258079446455,-122.69596299380144,277.2674001976973
12,526714.1059125189,4196346.615572445,37.914269201571884,-122.69608366987607,256.5606259393923
12,526704.2888463344,4196344.245649872,37.9142481300295,-122.6961954413458,256.56055687212563
12,526694.4717801498,4196341.8757273005,37.91422705838061,-122.69630721275242,256.5604878257613
12,526684.2352258458,4196339.345237398,37.91420455175677,-122.69642376233608,241.76805100820118
12,526675.3185918258,4196334.53523133,37.9141614612359,-122.69652538022832,237.6348383408075
12,526666.795751965,4196329.117434529,37.91411288111819,-122.6966225405188,237.63477818659732
12,526658.2107038358,4196323.6582017485,37.91406392928443,-122.69672040992407,235.18335508424389
12,526649.9131838179,4196317.871651978,37.914012018864824,-122.69681502026218,234.55120804263072
12,526641.6936074521,4196312.003953465,37.91395937469865,-122.69690874674795,234.55114997382083
12,526633.4740310867,4196306.136254951,37.91390673045676,-122.69700247310038,234.55109193933913
12,526625.4655107443,4196300.397728187,37.91385524417254,-122.69709379348507,242.67486909538937
12,526616.6158019499,4196295.805128939,37.91381411057531,-122.69719464110777,245.67440709623077
12,526607.4203242202,4196291.629663601,37.91377674659685,-122.69729940681914,245.67434228480732
12,526598.2248464905,4196287.454198262,37.91373938252443,-122.69740417242504,245.67434228480732
13,526599.6719224142,4196284.267354796,37.913710617474976,-122.69738782757817,65.67428778642739
13,526608.8674001439,4196288.442820135,37.91374798153316,-122.69728306200501,65.67435258981368
13,526618.1450574163,4196292.658221029,37.91378570302735,-122.69717735994325,62.67481757735209
13,526627.2880017767,4196297.41992758,37.91382835217211,-122.69707317013192,54.55104832323832
13,526635.5075781425,4196303.287626093,37.91388099647163,-122.6969794439293,54.55110637575331
13,526643.7271545079,4196309.155324607,37.91393364069546,-122.69688571759333,54.55116442655287
13,526651.9309787372,4196315.011908633,37.91398618513146,-122.69679217073835,55.18331082421582
13,526660.1505383503,4196320.745907936,37.9140376241862,-122.69669844927418,57.63473137458004
13,526668.6733782112,4196326.163704737,37.91408620436783,-122.69660128913252,57.634791535088596
13,526677.0875608163,4196331.517801202,37.91413421353082,-122.69650536735666,61.76800070840403
13,526685.4760494612,4196336.103539601,37.91417529823036,-122.69640976622371,76.56042464810344
13,526695.2931156458,4196338.473462173,37.91419636997728,-122.69629799492408,76.56049370591205
13,526705.1101818305,4196340.843384745,37.91421744161771,-122.69618622356137,76.56056276990802
13,526714.3017768767,4196343.177672912,37.914238210357006,-122.69608156911167,97.26732721776881
13,526724.2526967725,4196341.947302433,37.91422682875954,-122.69596840839509,98.42919545098363
13,526734.2483286579,4196340.505544935,37.91421354052786,-122.69585474689397,98.42926552143814
13,526744.2513506851,4196339.062737577,37.914200242506936,-122.69574100139975,98.18396716342716
13,526754.2571115274,4196337.663063457,37.91418733305139,-122.69562722318737,98.04727327559442
13,526764.2621000408,4196336.287735747,37.914174642940594,-122.69551345289737,98.04734344088894
13,526774.289242154,4196334.9095066795,37.91416192591802,-122.6953994307255,97.3129371258762
13,526785.586357116,4196334.056024627,37.914153900872776,-122.69527094129188,50.52343458452441
13,526793.3738733017,4196340.486103407,37.91421162513667,-122.69518210780241,50.523489633275176
13,526801.1613894872,4196346.916182188,37.91426934933237,-122.69509327417425,50.523544694499776
13,526808.8678616192,4196353.283248487,37.91432650792371,-122.69500536474868,53.88868708316238
13,526816.829859477,4196359.120582865,37.91437888449007,-122.6949145679193,60.25309989108575
13,526825.5907570818,4196364.144325953,37.91442390459857,-122.69481471257333,60.25316169852408
13,526834.3516546867,4196369.168069043,37.914468924621495,-122.69471485710605,60.25322350247848
13,526843.1125522914,4196374.191812133,37.91451394455883,-122.69461500151746,60.253285323899036
13,526851.8734498961,4196379.215555222,37.91455896441055,-122.69451514580753,60.25334713306671
13,526860.3605249601,4196384.112288501,37.914602847537935,-122.6944184098611,70.17504323377057
13,526869.339646875,4196387.408073276,37.91463228685299,-122.69431613572395,81.95890056910412
13,526879.3355774303,4196388.84775859,37.91464496717961,-122.69420236300002,81.95897082440501
13,526889.8543733543,4196390.449222596,37.91465909003023,-122.69408263580353,63.904184654939456
13,526898.7142706944,4196395.333664345,37.91470285098909,-122.69398165850211,20.790289708463945
13,526902.3172602889,4196404.887945307,37.914788856203,-122.69394031215606,17.133358075182798
