eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
84,57,154,residential,1,1900.0,25.0,4.30585525172226,48.12086781093272,"LINESTRING (525638.1046454912 4194485.147736283, 525633.5329447965 4194482.281989518, 525597.1600897873 4194459.789446265)"
85,154,57,residential,1,1900.0,25.0,4.30585525172226,48.12086781093272,"LINESTRING (525597.1600897873 4194459.789446265, 525633.5329447965 4194482.281989518, 525638.1046454912 4194485.147736283)"
86,26,208,residential,1,1900.0,25.0,14.31063478271698,159.93109949393136,"LINESTRING (525451.3558173506 4194654.122229997, 525446.5639238411 4194719.391277009, 525444.6403532041 4194747.134303763, 525447.6730023872 4194764.296832819, 525446.4811487537 4194777.230091748, 525426.9226842197 4194807.403734854)"
87,208,26,residential,1,1900.0,25.0,14.310634782716983,159.9310994939314,"LINESTRING (525426.9226842197 4194807.403734854, 525446.4811487537 4194777.230091748, 525447.6730023872 4194764.296832819, 525444.6403532041 4194747.134303763, 525446.5639238411 4194719.391277009, 525451.3558173506 4194654.122229997)"
88,208,1,residential,1,1900.0,25.0,9.361811845203725,104.62462947254944,"LINESTRING (525426.9226842197 4194807.403734854, 525401.2482638445 4194853.668651533, 525367.8588421069 4194893.041872284)"
89,1,208,residential,1,1900.0,25.0,9.361811845203725,104.62462947254944,"LINESTRING (525367.8588421069 4194893.041872284, 525401.2482638445 4194853.668651533, 525426.9226842197 4194807.403734854)"
90,98,67,residential,1,1900.0,25.0,4.420479016107302,49.40186651885676,"LINESTRING (527731.4697932996 4195397.215947352, 527727.577946541 4195409.440787488, 527729.2481065413 4195445.871973163)"
91,67,98,residential,1,1900.0,25.0,4.420479016107302,49.40186651885676,"LINESTRING (527729.2481065413 4195445.871973163, 527727.577946541 4195409.440787488, 527731.4697932996 4195397.215947352)"
92,178,181,residential,1,1900.0,25.0,9.95606028260028,111.26576086947115,"LINESTRING (531364.8608731865 4195160.046879379, 531271.0066466493 4195122.430571154, 531266.415736293 4195118.285634188, 531263.5168933454 4195115.367627806)"
93,181,178,residential,1,1900.0,25.0,9.95606028260028,111.26576086947115,"LINESTRING (531263.5168933454 4195115.367627806, 531266.415736293 4195118.285634188, 531271.0066466493 4195122.430571154, 531364.8608731865 4195160.046879379)"
94,27,151,residential,1,1900.0,25.0,10.998613107902615,122.9169994177762,"LINESTRING (526055.0764106753 4194817.242082096, 526070.9305998895 4194799.784297651, 526092.9797875034 4194769.531334935, 526129.7557656267 4194719.8422304)"
95,151,27,residential,1,1900.0,25.0,10.998613107902615,122.9169994177762,"LINESTRING (526129.7557656267 4194719.8422304, 526092.9797875034 4194769.531334935, 526070.9305998895 4194799.784297651, 526055.0764106753 4194817.242082096)"
96,151,28,residential,1,1900.0,25.0,13.957828873489241,155.9882529446719,"LINESTRING (526129.7557656267 4194719.8422304, 526218.4528108841 4194591.687680696)"
97,28,151,residential,1,1900.0,25.0,13.957828873489241,155.9882529446719,"LINESTRING (526218.4528108841 4194591.687680696, 526129.7557656267 4194719.8422304)"
98,30,33,residential,1,1900.0,25.0,17.349886861298298,193.8968133806247,"LINESTRING (525786.6077538605 4195199.13236662, 525900.8876318944 4195042.673426444)"
99,33,30,residential,1,1900.0,25.0,17.349886861298298,193.8968133806247,"LINESTRING (525900.8876318944 4195042.673426444, 525786.6077538605 4195199.13236662)"
100,33,250,residential,1,1900.0,25.0,16.71375417213227,186.78759691699003,"LINESTRING (525900.8876318944 4195042.673426444, 525943.669976534 4194983.338568682, 525985.9699685605 4194926.598675388, 525990.7872525369 4194912.889218814, 525989.7070941741 4194884.770636455)"
101,250,33,residential,1,1900.0,25.0,16.71375417213227,186.78759691699003,"LINESTRING (525989.7070941741 4194884.770636455, 525990.7872525369 4194912.889218814, 525985.9699685605 4194926.598675388, 525943.669976534 4194983.338568682, 525900.8876318944 4195042.673426444)"
102,194,192,residential,1,1900.0,25.0,12.990393123739244,145.17649892422043,"LINESTRING (531338.7586222547 4194769.150625026, 531336.3022748826 4194765.446524994, 531258.6248373267 4194648.250691566)"
103,192,194,residential,1,1900.0,25.0,12.990393123739244,145.17649892422043,"LINESTRING (531258.6248373267 4194648.250691566, 531336.3022748826 4194765.446524994, 531338.7586222547 4194769.150625026)"
104,131,1,residential,1,1900.0,25.0,3.694971768089581,41.29382843193542,"LINESTRING (525334.3319152971 4194868.895002363, 525367.8588421069 4194893.041872284)"
105,1,131,residential,1,1900.0,25.0,3.694971768089581,41.29382843193542,"LINESTRING (525367.8588421069 4194893.041872284, 525334.3319152971 4194868.895002363)"
106,1,100,residential,1,1900.0,25.0,13.091715846623478,146.30884942583234,"LINESTRING (525367.8588421069 4194893.041872284, 525486.44583068 4194978.87565606)"
107,100,1,residential,1,1900.0,25.0,13.091715846623478,146.30884942583234,"LINESTRING (525486.44583068 4194978.87565606, 525367.8588421069 4194893.041872284)"
108,100,15,residential,1,1900.0,25.0,20.1389564568196,225.06656746557442,"LINESTRING (525486.44583068 4194978.87565606, 525550.968655685 4195029.060188161, 525667.3866736203 4195112.859463851)"
